familyName,typeName,typeId,paramName,storageType,dataType,isReadOnly,value,display,
SSC標準 RC角柱 2,C1,5944743,(B),Double,autodesk.spec.aec:length-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,(D),Double,autodesk.spec.aec:length-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,(R),,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,B,Double,autodesk.spec.aec:length-2.0.0,FALSE,1000,1000,Y軸方向の幅
SSC標準 RC角柱 2,C1,5944743,Bx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Bx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,By,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,By_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,D,Double,autodesk.spec.aec:length-2.0.0,FALSE,1000,1000,X軸方向の幅
SSC標準 RC角柱 2,C1,5944743,D_By,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,D_Hy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,D_tfy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,D_twy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Hx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Hx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Hy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Hy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,IFC に書き出し(タイプ),Integer,,FALSE,0,既定,
SSC標準 RC角柱 2,C1,5944743,L_Bx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,L_Hx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,L_tfx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,L_twx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,OmniClass タイトル,String,autodesk.spec:spec.string-2.0.0,TRUE,Columns,Columns,
SSC標準 RC角柱 2,C1,5944743,OmniClass 番号,String,autodesk.spec:spec.string-2.0.0,TRUE,23.25.30.11.14.11,23.25.30.11.14.11,
SSC標準 RC角柱 2,C1,5944743,R,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,R_Bx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,R_Hx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,R_tfx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,R_twx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Rx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Rx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Rx_B_inner,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Ry,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Ry_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Ry_B_inner,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,URL,String,autodesk.spec.string:url-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,U_By,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,U_Hy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,U_tfy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,U_twy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Yori1,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,Yori3,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,a,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,tfx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,tfx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,tfy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,tfy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,twx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,twx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,twy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,twy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,アセンブリ,String,autodesk.spec:spec.string-2.0.0,TRUE,,,
SSC標準 RC角柱 2,C1,5944743,アセンブリ コード,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,イメージ(タイプ),ElementId,autodesk.spec.reference:image-1.0.0,TRUE,-1,-1,
SSC標準 RC角柱 2,C1,5944743,カテゴリ,ElementId,,TRUE,-2001330,構造柱,
SSC標準 RC角柱 2,C1,5944743,キーノート,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
