familyName,typeName,typeId,paramName,storageType,dataType,isReadOnly,value,display,note
SSC標準 RC梁,G1,5944692,B,Double,autodesk.spec.aec:length-2.0.0,FALSE,500,500,梁幅
SSC標準 RC梁,G1,5944692,D,Double,autodesk.spec.aec:length-2.0.0,FALSE,1500,1500,梁せい
SSC標準 RC梁,G1,5944692,H,,,FALSE,,,
SSC標準 RC梁,G1,5944692,IFC に書き出し(タイプ),Integer,,FALSE,0,既定,
SSC標準 RC梁,G1,5944692,OmniClass タイトル,String,autodesk.spec:spec.string-2.0.0,TRUE,Beams,Beams,
SSC標準 RC梁,G1,5944692,OmniClass 番号,String,autodesk.spec:spec.string-2.0.0,TRUE,23.25.30.11.14.14,23.25.30.11.14.14,
SSC標準 RC梁,G1,5944692,P1,,,FALSE,,,
SSC標準 RC梁,G1,5944692,P2,,,FALSE,,,
SSC標準 RC梁,G1,5944692,P3,,,FALSE,,,
SSC標準 RC梁,G1,5944692,P4,,,FALSE,,,
SSC標準 RC梁,G1,5944692,P5,,,FALSE,,,
SSC標準 RC梁,G1,5944692,P6,,,FALSE,,,
SSC標準 RC梁,G1,5944692,R,,,FALSE,,,
SSC標準 RC梁,G1,5944692,R1,,,FALSE,,,
SSC標準 RC梁,G1,5944692,R2,,,FALSE,,,
SSC標準 RC梁,G1,5944692,S梁断面形状,,,FALSE,,,
SSC標準 RC梁,G1,5944692,URL,String,autodesk.spec.string:url-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,htmp,,,FALSE,,,
SSC標準 RC梁,G1,5944692,r1,,,FALSE,,,
SSC標準 RC梁,G1,5944692,r2,,,FALSE,,,
SSC標準 RC梁,G1,5944692,tf,,,FALSE,,,
SSC標準 RC梁,G1,5944692,tw,,,FALSE,,,
SSC標準 RC梁,G1,5944692,せん断面積(弱軸),,,FALSE,,,
SSC標準 RC梁,G1,5944692,せん断面積(強軸),,,FALSE,,,
SSC標準 RC梁,G1,5944692,ねじりの断面係数,,,FALSE,,,
SSC標準 RC梁,G1,5944692,アセンブリ,String,autodesk.spec:spec.string-2.0.0,TRUE,,,
SSC標準 RC梁,G1,5944692,アセンブリ コード,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,イメージ(タイプ),ElementId,autodesk.spec.reference:image-1.0.0,TRUE,-1,-1,
SSC標準 RC梁,G1,5944692,ウェブ フィレット,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブSP位置調整,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブSP幅,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブSP板厚,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブSP長さ,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブボルトPc,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブボルトmW,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブボルトnW,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブ厚さ,,,FALSE,,,
SSC標準 RC梁,G1,5944692,ウェブ高さ,,,FALSE,,,
SSC標準 RC梁,G1,5944692,カテゴリ,ElementId,,TRUE,-2001320,構造フレーム,
SSC標準 RC梁,G1,5944692,キーノート,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,コメント(タイプ),String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,コード名,String,autodesk.spec:spec.string-2.0.0,TRUE,,,
SSC標準 RC梁,G1,5944692,タイプ IfcGUID,String,autodesk.spec:spec.string-2.0.0,FALSE,0pNaee$vn7OOws1ESfAMLw,0pNaee$vn7OOws1ESfAMLw,
SSC標準 RC梁,G1,5944692,タイプ名,String,autodesk.spec:spec.string-2.0.0,TRUE,G1,G1,
